category,mismatch_type,count,pct_of_category
Automotive,match,1466,84.4
Automotive,soft_mismatch,198,11.4
Automotive,strong_mismatch,73,4.2
Books,match,1002,89.95
Books,soft_mismatch,92,8.26
Books,strong_mismatch,20,1.8
Clothing,match,839,88.22
Clothing,soft_mismatch,90,9.46
Clothing,strong_mismatch,22,2.31
Electronics,match,1407,87.5
Electronics,soft_mismatch,144,8.96
Electronics,strong_mismatch,57,3.54
Home_and_Kitchen,match,957,88.37
Home_and_Kitchen,soft_mismatch,98,9.05
Home_and_Kitchen,strong_mismatch,28,2.59
Sports_and_Outdoors,match,1664,87.67
Sports_and_Outdoors,soft_mismatch,174,9.17
Sports_and_Outdoors,strong_mismatch,60,3.16
